Category,Message
spam,Free subscribe! Subscribe now to get your reward! Visit www.claimnow.net to claim your prize!
spam,WINNER! Claim your winner worth £256! Text WIN to 08347432469 for your chance to win!
ham,Its just the effect of irritation. Just ignore it
ham,Are you going to write ccna exam this week??
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up"
spam,URGENT! You're eligible for a congratulations of £332! Call now on 09413754453 to claim!
ham,Ok i am on the way to railway
ham,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.
spam,Special offer! HOLIDAY awaits you! Click here: www.specialoffers.com to get your reward!
ham,"Yep, by the pretty sculpture"
spam,Get your winner today! Text FQL8 to 09305109952 for a chance to win £846!
ham,I like dis sweater fr mango but no more my size already so irritating.
spam,You've been selected for a sony! Call 09564385471 to claim now! T&Cs apply.
ham,Will it help if we propose going back again tomorrow
ham,"I don't think I can get away for a trek that long with family in town, sorry"
ham,Yeah confirmed for you staying at  that weekend
ham,How r Ã¼ going to send it to me?
ham,"IÂm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
ham,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
ham,I tagged MY friends that you seemed to count as YOUR friends.
spam,You've been selected for a camera! Call 08908256592 to claim now! T&Cs apply.
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,"Not really dude, have no friends i'm afraid :("
ham,Shall i send that exe to your mail id.
spam,Free exclusive! Subscribe now to get your reward! Send STOP to 09165916450 to unsubscribe.
spam,Congratulations! You've won a limited! Text WIN to 08671942948 for your chance to win!
ham,Thinkin about someone is all good. No drugs for that
spam,WINNER! Claim your holiday worth £679! Call now on 09973587698 to claim!
spam,Free camera! Subscribe now to get your reward! Text WIN to 08747293495 for your chance to win!
spam,Congratulations! You've won a guaranteed! Click here: www.specialoffers.com to get your reward!
spam,You've been selected for a ringtone! Call 08645506995 to claim now! T&Cs apply.
ham,You are not bothering me but you have to trust my answers. Pls.
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
spam,WINNER! Claim your voucher worth £676! Text 1N7C to 08106709070 to receive your prize!
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
spam,Exclusive playstation offer! Get your free gift card now! Click here: www.mobiledeals.biz to get your reward!
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...
ham,You still around? Looking to pick up later
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
spam,Free deal! Subscribe now to get your reward! Text WIN to 09262509527 for your chance to win!
spam,"Free membership! Subscribe now to get your reward! Hurry, offer ends soon! Call 08998496124."
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or Â£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
spam,Get your playstation today! Text YJA7 to 09649619413 for a chance to win £1934!
ham,Ball is moving a lot.will spin in last :)so very difficult to bat:)
ham,Whatsup there. Dont u want to sleep
spam,URGENT! You're eligible for a discount of £1086! Click here: www.getfreestuff.com to get your reward!
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,I think asking for a gym is the excuse for lazy people. I jog.
spam,Exclusive text back offer! Get your free holiday now! Send STOP to 08445100855 to unsubscribe.
spam,Free membership! Subscribe now to get your reward! Text WIN to 08693223264 for your chance to win!
ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
ham,You still around? I could use a half-8th
ham,But i dint slept in afternoon.
ham,Did u download the fring app?
spam,Special offer! OFFER awaits you! Visit www.claimnow.net to claim your prize!
spam,URGENT! You're eligible for a ringtone of £1202! Send STOP to 09408398162 to unsubscribe.
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
spam,WINNER! Claim your guaranteed worth £455! Text QU01 to 09225358435 to receive your prize!
spam,"Final Chance! Claim ur Â£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Subs 16"
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
spam,Get your claim today! Text Z71A to 09419782800 for a chance to win £1931!
ham,Lol yeah at this point I guess not
spam,Free free! Subscribe now to get your reward! Text TIXK to 09036239862 to receive your prize!
ham,did u get that message
spam,WINNER! Claim your congratulations worth £909! Text WIN to 08685457729 for your chance to win!
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm
spam,Get your call now today! Text 599C to 08922350392 for a chance to win £1021!
ham,* Am on my way
spam,WINNER! Claim your ringtone worth £378! Call now on 09329725673 to claim!
spam,"Special offer! URGENT awaits you! Hurry, offer ends soon! Call 09382030980."
spam,Get your holiday today! Text 4SQR to 09709842533 for a chance to win £701!
spam,Exclusive sony offer! Get your free holiday now! Text WIN to 08754025149 for your chance to win!
spam,URGENT! You're eligible for a playstation of £4704! Call now on 09555624243 to claim!
ham,Y bishan lei... I tot Ã¼ say lavender?
ham,You made my day. Do have a great day too.
spam,Exclusive sony offer! Get your free holiday now! Text WIN to 09389164017 for your chance to win!
ham,Good night my dear.. Sleepwell&amp;Take care
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
ham,Got meh... When?
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget"
spam,Congratulations! You've won a ringtone! Call now on 08267171906 to claim!
ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
ham,There is no sense in my foot and penis.
spam,"Free cash! Subscribe now to get your reward! Hurry, offer ends soon! Call 08072361346."
spam,Free call now! Subscribe now to get your reward! Reply YES to join now!
spam,"URGENT! You're eligible for a urgent of £3837! Hurry, offer ends soon! Call 08986833108."
ham,"Miss ya, need ya, want ya, love ya."
ham,So the sun is anti sleep medicine.
ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:""Dont wake up early in d mrng'' GOOD night"
spam,Congratulations! You've won a claim! Text XJHP to 08372015394 to receive your prize!
ham,"I dont knw pa, i just drink milk.."
spam,Get your award today! Text C957 to 09414965972 for a chance to win £1365!
ham,Doing project w frens lor.
ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
ham,Hi. Hope you had a good day. Have a better night.
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,"Better than bb. If he wont use it, his wife will or them doctor"
spam,Free congratulations! Subscribe now to get your reward! Text WIN to 09487546452 for your chance to win!
spam,WINNER! Claim your voucher worth £652! Visit www.winyourprize.co.uk to claim your prize!
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Then why you came to hostel.
spam,You've been selected for a limited! Call 08642390251 to claim now! T&Cs apply.
ham,Ew are you one of them?
ham,Sure! I am driving but will reach my destination soon.
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,We got a divorce. Lol. She.s here
ham,Stupid.its not possible
ham,Ã log off 4 wat. It's sdryb8i
ham,I'm at work. Please call
spam,URGENT! You're eligible for a prize of £3350! Click here: www.freegift.tv to get your reward!
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
spam,Urgent Ur Â£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 Â£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.
ham,Ard 530 lor. I ok then message Ã¼ lor.
spam,we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
spam,Ur TONEXS subscription has been renewed and you have been charged Â£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.
ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
spam,You've been selected for a gift! Call 09979937360 to claim now! T&Cs apply.
spam,Congratulations! You've won a congratulations! Reply YES to join now!
ham,"aight we can pick some up, you open before tonight?"
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
ham,Yo! Howz u? girls never rang after india. L
ham,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ?"
ham,Gudnite....tc...practice going on
spam,Exclusive winner offer! Get your free holiday now! Visit www.getfreestuff.com to claim your prize!
ham,K..k.:)congratulation ..
ham,Wah... Okie okie... Muz make use of e unlimited... Haha...
spam,Congratulations! You've won a discount! Reply YES to join now!
ham,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts
spam,WINNER! Claim your discount worth £467! Reply YES to join now!
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
ham,They r giving a second chance to rahul dengra.
ham,I can't make it tonight
ham,We can make a baby in yo tho
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,How is your schedule next week? I am out of town this weekend.
spam,"Congratulations! You've won a text back! Hurry, offer ends soon! Call 09125200301."
ham,Can you pls send me that company name. In saibaba colany
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,Its sunny in california. The weather's just cool
ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
ham,"Sorry, I'll call later"
ham,"How long before you get reply, just defer admission til next semester"
spam,Get your prize today! Text 41DJ to 09209834454 for a chance to win £1301!
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
spam,Exclusive exclusive offer! Get your free phone now! Text GRR3 to 08547196845 to receive your prize!
ham,Mmmm.... I cant wait to lick it!
spam,Free urgent! Subscribe now to get your reward! Visit www.getfreestuff.com to claim your prize!
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham,How come she can get it? Should b quite diff to guess rite...
spam,You've been selected for a bonus! Call 09165015424 to claim now! T&Cs apply.
spam,You've been selected for a download! Call 08392738564 to claim now! T&Cs apply.
ham,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
spam,Free win! Subscribe now to get your reward! Text WIN to 09685536795 for your chance to win!
spam,"Congratulations! You've won a gift! Hurry, offer ends soon! Call 08063559342."
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
spam,WINNER! Claim your sony worth £465! Click here: www.getfreestuff.com to get your reward!
spam,You've been selected for a call now! Call 08249542708 to claim now! T&Cs apply.
ham,Ã still got lessons?  Ã in sch?
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
ham,"Come round, it's ."
spam,You've been selected for a offer! Call 08901000374 to claim now! T&Cs apply.
ham,I knew it... U slept v late yest? Wake up so late...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
spam,Congratulations! You've won a call now! Send STOP to 09667148954 to unsubscribe.
spam,WINNER! Claim your membership worth £975! Visit www.specialoffers.com to claim your prize!
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Sleeping nt feeling well
ham,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb"
ham,Finish liao... U?
spam,URGENT! You're eligible for a gift of £1220! Call now on 09269569744 to claim!
spam,URGENT! You're eligible for a award of £4021! Click here: www.specialoffers.com to get your reward!
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
spam,You've been selected for a bonus! Call 09934213754 to claim now! T&Cs apply.
ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
ham,Good. Good job. I like entrepreneurs
ham,That's y u haf 2 keep me busy...
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a Â£1500 Bonus Prize, call 09066364589"
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
spam,Get your urgent today! Text MCH6 to 09611398807 for a chance to win £1157!
spam,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only
spam,URGENT! You're eligible for a deal of £1686! Click here: www.winyourprize.co.uk to get your reward!
ham,Yep. I do like the pink furniture tho.
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when Ã¼ r done.
ham,You best watch what you say cause I get drunk as a motherfucker
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
spam,You've been selected for a voucher! Call 08202428470 to claim now! T&Cs apply.
ham,"K, want us to come by now?"
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
spam,Special offer! XBOX awaits you! Text WIN to 08465277017 for your chance to win!
ham,Change again... It's e one next to escalator...
ham,K:)k:)what are detail you want to transfer?acc no enough?
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
ham,I'm at home. Please call
spam,Congratulations! You've won a cash! Call now on 09704947525 to claim!
spam,You've been selected for a limited! Call 09458287345 to claim now! T&Cs apply.
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
ham,So when do you wanna gym?
ham,"Lol, oh you got a friend for the dog ?"
spam,Exclusive claim offer! Get your free phone now! Text H7T3 to 09089394884 to receive your prize!
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
spam,"URGENT! You're eligible for a camera of £3090! Hurry, offer ends soon! Call 08519739318."
ham,Taka lor. Wat time u wan 2 come n look 4 us?
ham,K. I will sent it again
spam,Get your guaranteed today! Text 9Q03 to 09545266483 for a chance to win £1801!
spam,WINNER! Claim your mobile worth £593! Visit www.specialoffers.com to claim your prize!
ham,"Dear, will call Tmorrow.pls accomodate."
ham,"Received, understood n acted upon!"
spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M
ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
ham,No she didnt. I will search online and let you know.
spam,Congratulations! You've won a subscribe! Text 4R1H to 08169704376 to receive your prize!
spam,You've been selected for a gift! Call 09562760233 to claim now! T&Cs apply.
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
spam,Special offer! DISCOUNT awaits you! Call now on 08703868159 to claim!
ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
ham,As in different styles?
spam,WINNER! Claim your guaranteed worth £335! Visit www.getfreestuff.com to claim your prize!
ham,"I am in tirupur da, once you started from office call me."
ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
ham,No dear i was sleeping :-P
ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
spam,Get your subscribe today! Text YJV9 to 08607159647 for a chance to win £1073!
ham,Yes its possible but dint try. Pls dont tell to any one k
ham,Wake me up at  &lt;#&gt;  am morning:)
spam,You've been selected for a award! Call 08801301454 to claim now! T&Cs apply.
ham,Were somewhere on Fredericksburg
ham,Dunno y u ask me.
spam,URGENT! You're eligible for a gift of £2764! Visit www.getfreestuff.com to claim your prize!
ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
ham,I see the letter B on my car
spam,Congratulations! You've won a claim! Visit www.winyourprize.co.uk to claim your prize!
ham,Still otside le..u come 2morrow maga..
ham,Okay. I've seen it. So i should pick it on friday?
spam,WINNER! Claim your bonus worth £522! Text I4XK to 09765884596 to receive your prize!
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
ham,U guys never invite me anywhere :(
ham,I don't think he has spatula hands!
ham,Umma. Did she say anything
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
spam,Get your free today! Text 11Z9 to 08949629193 for a chance to win £1809!
spam,Exclusive nokia offer! Get your free gift card now! Send STOP to 09448638561 to unsubscribe.
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
spam,Free urgent! Subscribe now to get your reward! Reply YES to join now!
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ham,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Watching tv lor...
spam,Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz
ham,The new deus ex game comin early next yr
ham,S:)s.nervous  &lt;#&gt; :)
spam,Special offer! SONY awaits you! Click here: www.getfreestuff.com to get your reward!
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,I'm in a movie. Call me 4 wat?
ham,U attend ur driving lesson how many times a wk n which day?
ham,I tot u reach liao. He said t-shirt.
spam,You've been selected for a sony! Call 08456827462 to claim now! T&Cs apply.
ham,Even if he my friend he is a priest call him now
ham,"Keep ur problems in ur heart, b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..
ham	Yeah, give me a call if you've got a minute
ham	HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS Â FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,IÂL CALL U"""
ham,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?
ham,I am in bus on the way to calicut
ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.
ham,Dunno lei he neva say...
spam,Congratulations! You've won a holiday! Text WIN to 09172418537 for your chance to win!
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
spam,Exclusive congratulations offer! Get your free gift card now! Visit www.mobiledeals.biz to claim your prize!
ham,Leave it. U will always be ignorant.
ham,I'm ok. Will do my part tomorrow
spam,Free free! Subscribe now to get your reward! Call now on 09844329170 to claim!
spam,URGENT! You're eligible for a sony of £2911! Call now on 09013536559 to claim!
spam,URGENT! You're eligible for a free of £2664! Visit www.claimnow.net to claim your prize!
ham,"St andre, virgil's cream"
ham,I'm leaving my house now...
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
spam,Get your winner today! Text W1YC to 08656282925 for a chance to win £934!
ham,Its ok..come to my home it vl nice to meet and v can chat..
spam,Get your playstation today! Text UWLU to 08629332168 for a chance to win £1894!
ham,I'm not coming home 4 dinner.
ham,Ugh my leg hurts. Musta overdid it on mon.
ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way.
ham,I had it already..sabarish asked me to go..
ham,"Yeah, probably earlier than that"
ham,I've reached sch already...
ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
